order_id,customer_id,customer_name,category,sub_category,unit_price,quantity,discount_pct,discount_amount,line_total,payment_method,order_date,order_year,order_month,order_quarter,order_year_month,shipping_status,is_returned,region,state
ORD-100566,CUST-1526,Linda Miller,Food & Beverage,Supplements,591.4,8,5.0,236.56,4494.64,Credit Card,2023-10-25,2023,10,4,2023-10,Cancelled,False,North,Connecticut
ORD-108617,CUST-3530,Joseph Thomas,Beauty,Personal Care,151.07,3,0.0,0.0,453.21,Credit Card,2023-07-13,2023,7,3,2023-07,Delivered,False,East,Wisconsin
ORD-108035,CUST-2212,Karen Walker,Clothing,Men'S Wear,152.96,5,0.0,0.0,764.8,Paypal,2024-05-03,2024,5,2,2024-05,Returned,True,South,Texas
ORD-114772,CUST-4273,Susan Williams,Home & Garden,Lighting,710.76,4,0.0,0.0,2843.04,Gift Card,2022-12-18,2022,12,4,2022-12,Returned,True,West,California
ORD-106909,CUST-4059,Donald Williams,Toys,Board Games,727.18,1,20.0,145.44,581.74,Bank Transfer,2022-09-23,2022,9,3,2022-09,Cancelled,False,North,New Jersey
ORD-102157,CUST-3285,Joseph Brown,Food & Beverage,Snacks,525.17,5,0.0,0.0,2625.85,Paypal,2024-02-14,2024,2,1,2024-02,Cancelled,False,North,Massachusetts
ORD-103550,CUST-5617,Mary Walker,Food & Beverage,Snacks,1206.69,5,0.0,0.0,6033.45,Debit Card,2023-11-19,2023,11,4,2023-11,Cancelled,False,West,Nevada
ORD-111353,CUST-5390,Jennifer Garcia,Books,Comics,898.46,7,0.0,0.0,6289.22,Bank Transfer,2023-03-19,2023,3,1,2023-03,Shipped,False,North,New Jersey
ORD-108443,CUST-3470,Margaret Johnson,Electronics,Smartphones,627.24,7,0.0,0.0,4390.68,Bank Transfer,2022-12-21,2022,12,4,2022-12,Returned,True,South,Florida
ORD-102099,CUST-4890,Barbara Lewis,Beauty,Haircare,596.98,2,0.0,0.0,1193.96,Bank Transfer,2024-03-26,2024,3,1,2024-03,Shipped,False,Central,Colorado
ORD-107228,CUST-5898,Daniel Jackson,Food & Beverage,Beverages,1421.4,9,0.0,0.0,12792.6,Credit Card,2023-06-13,2023,6,2,2023-06,Processing,False,North,Pennsylvania
ORD-104914,CUST-3512,Nancy Davis,Food & Beverage,Snacks,253.51,1,0.0,0.0,253.51,Paypal,2024-02-10,2024,2,1,2024-02,Returned,True,West,Oregon
ORD-111513,CUST-5041,Michael White,Clothing,Women'S Wear,575.45,4,10.0,230.18,2071.62,Paypal,2022-05-16,2022,5,2,2022-05,Processing,False,West,Nevada
ORD-105434,CUST-2906,Ashley Robinson,Food & Beverage,Beverages,896.23,6,15.0,806.61,4570.77,Credit Card,2023-05-11,2023,5,2,2023-05,Shipped,False,Central,Kansas
ORD-110812,CUST-2128,Jennifer Martin,Clothing,Accessories,181.38,1,15.0,27.21,154.17,Debit Card,2022-05-03,2022,5,2,2022-05,Cancelled,False,North,Connecticut
ORD-107039,CUST-5125,Daniel Thomas,Sports,Outdoor Gear,741.74,3,0.0,0.0,2225.22,Paypal,2023-07-24,2023,7,3,2023-07,Shipped,False,South,Florida
ORD-114368,CUST-1543,John Davis,Beauty,Skincare,1443.3,9,15.0,1948.45,11041.25,Bank Transfer,2022-11-17,2022,11,4,2022-11,Returned,True,South,Georgia
ORD-103289,CUST-4012,Susan Harris,Home & Garden,Lighting,309.19,6,10.0,185.51,1669.63,Gift Card,2023-02-06,2023,2,1,2023-02,Processing,False,West,Washington
