order_id,customer_id,customer_name,category,sub_category,unit_price,quantity,discount_pct,payment_method,order_date,shipping_status,region,state
ORD-100566,CUST-1526,Linda Miller,FOOD & BEVERAGE,Supplements,591.4,8,5,Credit Card,25-Oct-2023,CANCELLED,North,Connecticut
ORD-108617,CUST-3530,Joseph Thomas,Beauty,Personal Care,151.07,3,0,Credit Card,07/13/2023,Delivered,East,Wisconsin
ORD-108035,CUST-2212,Karen Walker,Clothing,Men's Wear,152.96,5,,PayPal,05/03/2024,Returned,South,Texas
ORD-114772,CUST-4273,Susan Williams,Home & Garden,Lighting,710.76,4,0,Gift Card,2022-12-18,Returned,West,California
ORD-106909,CUST-4059,Donald Williams,Toys,Board Games,727.18,1,20,Bank Transfer,2022-09-23,Cancelled,North,New Jersey
ORD-102157,CUST-3285,Joseph Brown,  Food & Beverage  ,Snacks,525.17,,0,PayPal,2024-02-14,Cancelled,North,Massachusetts
ORD-103550,CUST-5617,Mary Walker,food & beverage,Snacks,1206.69,5,0,Debit Card,11/19/2023,Cancelled,West,Nevada
ORD-111353,CUST-5390,Jennifer Garcia,Books,Comics,898.46,7,0,Bank Transfer,03/19/2023,Shipped,North,New Jersey
ORD-108443,CUST-3470,Margaret Johnson,Electronics,Smartphones,627.24,7,0,Bank Transfer,12/21/2022,Returned,South,Florida
ORD-102099,CUST-4890,Barbara Lewis,BEAUTY,Haircare,596.98,2,0,Bank Transfer,26-Mar-2024,Shipped,Central,Colorado
ORD-107228,CUST-5898,Daniel Jackson,Food & Beverage,Beverages,1421.4,9,0,CREDIT CARD,06/13/2023,Processing,North,Pennsylvania
ORD-104914,CUST-3512,Nancy Davis,FOOD & BEVERAGE,Snacks,253.51,1,0,PayPal,2024-02-10,  Returned  ,West,Oregon
ORD-111513,CUST-5041,Michael White,Clothing,Women's Wear,575.45,4,10,PayPal,16-May-2022,  Processing  ,West,Nevada
ORD-105434,CUST-2906,Ashley Robinson,Food & Beverage,Beverages,896.23,6,15,Credit Card,05/11/2023,Shipped,Central,Kansas
ORD-110812,CUST-2128,Jennifer Martin,Clothing,Accessories,181.38,1,15,Debit Card,2022-05-03,Cancelled,North,Connecticut
